date,new cases
2009-01-01,0
2009-02-01,18
2009-03-01,318
2009-04-01,15102
2009-05-01,45103
2009-06-01,155952
2009-07-01,128029
2009-08-01,132303
2009-09-01,179731
2009-10-01,302487
2009-11-01,462183
2009-12-01,132747
2010-01-01,46854
2010-02-01,21467
2010-03-01,17708
2010-04-01,6488
2010-05-01,5531
2010-06-01,4254
2010-07-01,6831
2010-08-01,12717
2010-09-01,4993
2010-10-01,2546
2010-11-01,4029
2010-12-01,27663
2011-01-01,122394
2011-02-01,100974
2011-03-01,31087
2011-04-01,5539
2011-05-01,2730
2011-06-01,3719
2011-07-01,3970
2011-08-01,4552
2011-09-01,3702
2011-10-01,4887
2011-11-01,1554
2011-12-01,1648
2012-01-01,11409
2012-02-01,9837
2012-03-01,10538
2012-04-01,5368
2012-05-01,2503
2012-06-01,3873
2012-07-01,3409
2012-08-01,2394
2012-09-01,2763
2012-10-01,2698
2012-11-01,2163
2012-12-01,7379
2013-01-01,38349
2013-02-01,53442
2013-03-01,29460
2013-04-01,15813
2013-05-01,9852
2013-06-01,15040
2013-07-01,14815
2013-08-01,6423
2013-09-01,5196
2013-10-01,3809
2013-11-01,8475
2013-12-01,60889
2014-01-01,101833
2014-02-01,65386
2014-03-01,32830
2014-04-01,6641
2014-05-01,3024
2014-06-01,3397
2014-07-01,4126
2014-08-01,4483
2014-09-01,2313
2014-10-01,629
2014-11-01,754
2014-12-01,2335
2015-01-01,8760
2015-02-01,18561
2015-03-01,21699
2015-04-01,5196
2015-05-01,2695
2015-06-01,3727
2015-07-01,2729
2015-08-01,3672
2015-09-01,2882
2015-10-01,4172
2015-11-01,9753
2015-12-01,23895
2016-01-01,92657
2016-02-01,171275
2016-03-01,80540
2016-04-01,29302
2016-05-01,18638
2016-06-01,12772
2016-07-01,5194
2016-08-01,4273
2016-09-01,1825
2016-10-01,1457
2016-11-01,1174
2016-12-01,2254
2017-01-01,8207
2017-02-01,12261
2017-03-01,15544
2017-04-01,8914
2017-05-01,8694
2017-06-01,4617
2017-07-01,7380
2017-08-01,7509
2017-09-01,4649
2017-10-01,10307
2017-11-01,17244
2017-12-01,33158
2018-01-01,79649
2018-02-01,51589
2018-03-01,36650
2018-04-01,23284
2018-05-01,10867
2018-06-01,10296
2018-07-01,11747
2018-08-01,7807
2018-09-01,10969
2018-10-01,18045
2018-11-01,25254
2018-12-01,89171
2019-01-01,170818
2019-02-01,127840
2019-03-01,50054
2019-04-01,13950
2019-05-01,5611
2019-06-01,7975
2019-07-01,8867
2019-08-01,3944
2019-09-01,5508
2019-10-01,7666
2019-11-01,18499
2019-12-01,50013
2020-01-01,69600
2020-02-01,61397
2020-03-01,28251
2020-04-01,896
2020-05-01,207
2020-06-01,87
2020-07-01,59
2020-08-01,77
2020-09-01,70
2020-10-01,117
2020-11-01,212
2020-12-01,130
2021-01-01,327
2021-02-01,342
2021-03-01,327
2021-04-01,171
2021-05-01,162
2021-06-01,399
2021-07-01,550
2021-08-01,597
2021-09-01,990
2021-10-01,1391
2021-11-01,1975
2021-12-01,1561
2022-01-01,1574
2022-02-01,1884
2022-03-01,2264
2022-04-01,3252
2022-05-01,3469
2022-06-01,5228
2022-07-01,3184
2022-08-01,4442
2022-09-01,3363
2022-10-01,12815
2022-11-01,22639
2022-12-01,60280
2023-01-01,39536
2023-02-01,74082
2023-03-01,130599
2023-04-01,71065
2023-05-01,31308
2023-06-01,16304
2023-07-01,14277
2023-08-01,9870
2023-09-01,12797
2023-10-01,29321
2023-11-01,43283
2023-12-01,82960
2024-01-01,91125
2024-02-01,46963
2024-03-01,34263
2024-04-01,39781
2024-05-01,19822
