date,cases
2009-03-01,318
2009-04-01,15102
2009-05-01,45103
2009-06-01,155952
2009-07-01,128029
2009-08-01,132303
2009-09-01,179731
2009-10-01,302487
2009-11-01,462183
2009-12-01,132747
2010-01-01,46854
2010-02-01,21467
2010-03-01,17708
2010-04-01,6488
2010-05-01,5531
2010-06-01,4254
2010-07-01,6831
2010-08-01,12717
2010-09-01,0
2010-10-01,0
2010-11-01,0
2010-12-01,0
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,0
2012-09-01,0
2012-10-01,0
2012-11-01,0
2012-12-01,0
2013-01-01,0
2013-02-01,0
2013-03-01,0
2013-04-01,0
2013-05-01,0
2013-06-01,0
2013-07-01,0
2013-08-01,0
2013-09-01,0
2013-10-01,0
2013-11-01,0
2013-12-01,0
2014-01-01,0
2014-02-01,0
2014-03-01,0
2014-04-01,0
2014-05-01,0
2014-06-01,0
2014-07-01,0
2014-08-01,0
2014-09-01,0
2014-10-01,0
2014-11-01,0
2014-12-01,0
2015-01-01,0
2015-02-01,0
2015-03-01,0
2015-04-01,0
2015-05-01,0
2015-06-01,0
2015-07-01,0
2015-08-01,0
2015-09-01,0
2015-10-01,0
2015-11-01,0
2015-12-01,0
2016-01-01,0
2016-02-01,0
2016-03-01,0
2016-04-01,0
2016-05-01,0
2016-06-01,0
2016-07-01,0
2016-08-01,0
2016-09-01,0
2016-10-01,0
2016-11-01,0
2016-12-01,0
2017-01-01,0
2017-02-01,0
2017-03-01,0
2017-04-01,0
2017-05-01,0
2017-06-01,0
2017-07-01,0
2017-08-01,0
2017-09-01,0
2017-10-01,0
2017-11-01,0
2017-12-01,0
2018-01-01,0
2018-02-01,0
2018-03-01,0
2018-04-01,0
2018-05-01,0
2018-06-01,0
2018-07-01,0
2018-08-01,0
2018-09-01,0
2018-10-01,0
2018-11-01,0
2018-12-01,0
2019-01-01,0
2019-02-01,0
2019-03-01,0
2019-04-01,0
2019-05-01,0
2019-06-01,0
2019-07-01,0
2019-08-01,0
2019-09-01,0
2019-10-01,0
2019-11-01,0
2019-12-01,0
2020-01-01,8140
2020-02-01,306388
2020-03-01,2774991
2020-04-01,8618144
2020-05-01,12839889
2020-06-01,15852034
2020-07-01,24432242
2020-08-01,37568841
2020-09-01,33477437
2020-10-01,43233927
2020-11-01,84396057
2020-12-01,72463296
2021-01-01,92905629
2021-02-01,46698894
2021-03-01,55239123
2021-04-01,82184784
2021-05-01,97178716
2021-06-01,43778474
2021-07-01,54942174
2021-08-01,91154888
2021-09-01,63275828
2021-10-01,62902229
2021-11-01,63733746
2021-12-01,85019217
2022-01-01,411909030
2022-02-01,259990699
2022-03-01,200032442
2022-04-01,119360645
2022-05-01,81377207
2022-06-01,65532651
2022-07-01,143781254
2022-08-01,95236731
2022-09-01,59736672
2022-10-01,67234159
2022-11-01,44976971
2022-12-01,272018579
2023-01-01,192447693
2023-02-01,20376737
2023-03-01,15441982
2023-04-01,15183704
2023-05-01,7964118
2023-06-01,3899754
2023-07-01,4647517
2023-08-01,6371956
2023-09-01,3741436
2023-10-01,3446140
2023-11-01,3435280
2023-12-01,7088115
2024-01-01,2719818
2024-02-01,1407543
2024-03-01,1422234
2024-04-01,592511
2024-05-01,409686
